,index,Clinical_Study_Id,Overall_Status,Detailed_Description,Primary_Disease_or_Condition,Primary_Disease_or_Condition_Keywords,Study_Completion_Date,Study_Stopped_Reasons,Study_Design_Primary_Purpose,Eligibility_Criteria,Eligibility_Gender,Is_Eligibility_Gender_Based,Eligibility_Minimum_Age,Eligibility_Maximum_Age,Location_Facilities,Location_Countries,Removed_Countries
245,1643,NCT02199418,Completed,In this trial all the patients will have weekly paclitaxel and cisplatin as neoadjuvant chemotherapy for 4 cycles. Patients with Her2 positive tumor will also receive the trastuzumab.,Tubular Breast Cancer;Mucinous Breast Cancer;Invasive Ductal Breast Cancer;Inflammatory Breast Cancer,,2016-10-01,,Treatment,Inclusion Criteria: 1. Women aged ≥18years and ≤70 years 2. At least on measurable disease according to the Response Evaluation Criteria in Solid Tumors (RECIST). Histologically confirmed invasive breast cancer tumor size ≥2 cm T2-4 N0-2M0 3. ER/PR/HER-2 and Ki-67 status detected on core biopsy. ER/PR positive is defined as >1% stained cells and HER2-positive is defined as immuno-histochemistry (IHC) 3+ or FISH ratio ≥ 2.0 4. No prior systemic or loco-regional treatment of breast cancer 5. ECOG 0-2 6. Adequate bone marrow function:WBC≥4.0×109/L Absolute neutrophil count（ANC）≥1.5×109/L Platelets（PLT）≥100×109/L Hemoglobin（Hb）≥90g/L;aspartate aminotransferase(AST) Alanine aminotransferase (ALT)≤1.5 upper normal limit （UNL） creatinine≤1.5 UNL bilirubin≤1.5UNL 7. No obvious main organs dysfunction Exclusion Criteria: 1. Unwilling or unable to use an acceptable method of contraception in 8 weeks (including 8 weeks) after final dose of test drug 2. Patient is pregnant or breast feeding 3. Inflammatory breast cancer and metastatic breast cancer 4. Any evidence of sense or motor nerve disorders 5. Patients with medical conditions taht indicate intolerant to neoadjuvant therapy including uncontrolled cardiovascular disease severe infection 6. Any concurrent malignancy other than breast cancer 7. Know severe hypersensitivity to any drugs in this study,Female,,18 Years,70 Years,facility:Fudan University Shanghai Cancer Center|Shanghai|Shanghai|200032|China;facility:Shanghai Jiaotong University School of Medicine Renji Hospital|Shanghai|Shanghai|200127|China,China,
246,1657,NCT02196688,Completed,This is a randomized double-blind placebo-controlled multicenter Phase II clinical trial to compare the efficacy and safety of Fruquintinib plus Best Supportive Care (BSC) versus placebo plus BSC in patients with metastatic colorectal cancer who have progressed after second-line or above standard chemotherapy. After checking eligibility criteria subjects will be randomized into Fruquintinib plus BSC group (treatment group) or placebo plus BSC group (control group) in a ration of 2:1. Primary Efficacy Endpoint: Progression free survival (PFS) (According to RECIST Version 1.1). Secondary Efficacy Endpoints: Objective Response Rate (ORR) Disease Control Rate (DCR) Overall Survival (OS). Safety and tolerance will be evaluated by incidence severity and outcomes of AEs and categorized by severity in accordance with the NCI CTC AE Version 4.0.,Colorectal Cancer,subjects with mCRC who failed at least 2nd line therapy,2015-11-01,,Treatment,Inclusion Criteria: - ≥ 18 and ≤ 75 years of age with ≥ 40Kg - Histological or cytological confirmed metastatic colorectal cancer - ECOG performance status of 0-1 - Failed 2 or more lines of chemotherapy - Adequate hepatic renal heart and hematologic functions - At least one measurable lesion (larger than 10 mm in diameter by spiral CT scan) - Signed and dated informed consent. - Willingness and ability to comply with scheduled visits treatment plans laboratory tests and other study procedure Exclusion Criteria: - Pregnant or lactating women - Any factors that influence the usage of oral administration - CNS metastasis - One of the following conditions: non-controlled hypertension coronary artery disease arrhythmia and heart failure - Abuse of alcohol or drugs - Less than 4 weeks from the last clinical trial - Previous treatment with VEGFR inhibition - Disability of serious uncontrolled intercurrence infection - Proteinuria ≥ 2+ (1.0g/24hr) - Evidence or a history of bleeding tendency within two months of the enrollment regardless of seriousness - History of artery/venous thromboembolic events in 12 months such as cerebral vascular accident (including transient ischemic attack) etc. - History of acute myocardial infarction acute coronary syndrome or CABG in 6 months - Bone fracture or wounds that was not cured for a long time - Coagulation dysfunction hemorrhagic tendency or receiving anticoagulant therapy,All,,18 Years,75 Years,facility:Hutchison Medi Pharma Investigational Site|Beijing|Beijing|100071|China;facility:Hutchison Medi Pharma Investigational Site|Guangzhou|Guangdong|510060|China;facility:Hutchison Medi Pharma|Ha er bin|Heilongjiang|150081|China;facility:Hutchison Medi Pharma Investigational Site|Hangzhou|Zhejiang|310016|China;facility:Hutchison Medi Pharma Investigational Site|Shanghai|200032|China,China,
247,1685,NCT02195141,Unknown status,,Rectal Cancer,Preoperative Chemoradiotherapy;Locally Advanced Rectal Cancer;boost;IMRT,2015-12-01,,Treatment,Inclusion Criteria: - histopathologically confirmed rectal adenocarcinoma with an inferior border within 15 cm of the anal verge - the tumor has to have evidence of T3 or T4 disease on Magnetic Resonance Imaging (MRI) or endoluminal ultrasound Exclusion Criteria: - metastatic disease - Eastern Cooperative Oncology Group (ECOG) performance status > 3 - patients not deemed fit for radiotherapy capecitabine or surgery - pregnant or lactating patients - women with child bearing potential who lack effective contraception - patients below 18 years old,All,,18 Years,75 Years,facility:Cancer Hospital CAMS|Beijing|100021|China|status:Recruiting|contact:Jing Jin professor|87788200|jingjin1025163.com|contact_backup:Hua Ren attending|87788122|renhua2009hotmail.com,China,
248,1686,NCT02192333,Active  not recruiting,PRIMARY OBJECTIVES: I. To test the impact of providing the essential elements of survivorship care on survivorship outcomes as indicated by reduction in symptoms (pain fatigue sleep disturbance depression distress) in young adult cancer survivors diagnosed with cancer between the ages of 18 and 39 years when compared with usual care. SECONDARY OBJECTIVES: I. To improve confidence in survivorship knowledge and promote healthy lifestyle behaviors. II. To provide evidence on barriers needs and care preferences that will support long term follow-up recommendations for this population. OUTLINE: Participants categorized as high-need are randomized to 1 of 2 arms. Participants categorized as low-need are assigned to Arm I. ARM I: Participants receive usual care. After 12 months participants may receive a survivorship clinic visit and boosters as in Arm II. ARM II: Participants attend a survivorship clinic visit that includes care plans screening recommendations physician coordination health promotion education symptom management and palliative care late effects education psychosocial and medical assessments and referrals for services and care as appropriate. Participants also receive phone-based survivorship boosters over approximately 15-30 minutes at 4-8 weeks and 12-16 weeks after the initial clinic visit. After completion of study participants are followed up at 6 and 12 months.,Breast Carcinoma;Cancer Survivor;Depression;Fatigue;Leukemia;Lymphoma;Malignant Bone Neoplasm;Malignant Digestive System Neoplasm;Malignant Female Reproductive System Neoplasm;Malignant Male Reproductive System Neoplasm;Pain;Sleep Disorder;Soft Tissue Sarcoma,,2018-10-07,,Supportive Care,"Inclusion Criteria: - Patients enrolled on phase 1 of the study are eligible (and/or if recruited from tumor registry or clinic follow-up schedules) - Diagnosed with invasive malignancy including: breast gastrointestinal track female or male genitourinary system sarcoma of bone or soft-tissue leukemia and lymphoma - Treated at one of the Survivorship Centers of Excellence or their community affiliates - Received a therapeutic intervention with at least one of the following modalities: surgery cytotoxic chemotherapy biological or targeted agents radiation therapy (any modality) - Currently between 1.0 and 4.99 years from the completion of active cancer-directed therapy (cytotoxic chemotherapy radiation therapy and/or definitive surgical intervention) - Patient must still be in active follow-up: seen for a follow-up visit in the participating center at least once in the 3 years prior to enrollment and/or scheduled to be seen for follow-up in the next 6 months (i.e. in active follow-up) - May be receiving ""maintenance"" therapy that has a goal of prevention of recurrence but there should be no expectations for further active treatment - Able to read and speak English adequate to complete the patient-reported outcomes (PRO) assessment Exclusion Criteria: - Prior visit to a survivorship clinic or previously provided with a treatment summary and care plan",All,,18 Years,39 Years,facility:UCLA / Jonsson Comprehensive Cancer Center|Los Angeles|California|90095|United States;facility:University of Colorado Cancer Center - Anschutz Cancer Pavilion|Aurora|Colorado|80045|United States;facility:Dana-Farber Cancer Institute|Boston|Massachusetts|02215|United States;facility:UNC Lineberger Comprehensive Cancer Center|Chapel Hill|North Carolina|27599|United States;facility:University of Pennsylvania/Abramson Cancer Center|Philadelphia|Pennsylvania|19104|United States;facility:Fred Hutch/University of Washington Cancer Consortium|Seattle|Washington|98109|United States,United States,
249,1702,NCT02199366,Recruiting,As part of this study participants will have a cardiac MRI at baseline and a follow-up cardiac MRI within 1 year after completion of standard radiation therapy for left-sided breast cancer. The cardiac MRI scans will be evaluated to determine if there are changes in cardiac function within 1 year after radiation treatment. Patients will be asked to complete a questionnaire before and after treatment that asks about their health and any symptoms they may be having. Physical exams and any other standard of care service or treatment will be at the discretion of the treating physician.,Breast Cancer,Cardiac MRI;Radiation;Proton Radiation;Breast Cancer,2020-07-01,,,Inclusion Criteria: - Left-sided breast cancer stage I-III. - Indications for adjuvant regional nodal and breast or chest wall radiation therapy (RT). - Women and men are allowed. - Must be at least 18 years old at time of consent. Exclusion Criteria: - Pregnant and/or breastfeeding women or patients of child-producing potential not willing to use contraception while on study. - Prior history of cardiovascular disease per physician discretion. - Stage 0 and IV breast cancer. - Prior radiation therapy to chest. - Concurrent trastuzumab per physician discretion. - Contraindications to cardiac MRI (e.g. contrast reaction metal implants etc.).,All,,18 Years, ,facility:University of Florida Proton Therapy Institute|Jacksonville|Florida|32206|United States|status:Recruiting|contact:Intake Coordinator|877-686-6009|investigator:Julie A Bradley MD|role:Principal Investigator,United States,
250,1716,NCT02199223,Terminated,,KRAS and NRAS Wild-type Colorectal Cancer,,2016-05-01,Slow accrual,Treatment,Inclusion Criteria: - Histological diagnosis of un-resectable or metastatic colorectal cancer which is KRAS and NRAS mutation negative (wild-type). Patients with any known mutation in KRAS or NRAS codons 12 13 59 61 117 or 146 will be excluded. Mutations of KRAS and NRAS codons not listed above are allowed. Biopsy of metastatic lesion is not required. - Patients must show signs of progression (by imaging or tumor marker elevation) after being treated with a first line or greater treatment for their un-resectable or metastatic colorectal cancer. - Age 18 years or older. - ECOG Performance Status 0-1 - Subjects must be able to understand and be willing to sign the written informed consent form. A signed informed consent form must be appropriately obtained prior to the conduct of any trial-specific procedure. - Acute toxic effects of all prior treatment have resolved to NCI-CTCAE v4.0 less than or equal to Grade 1 or baseline prior to beginning treatment. Alopecia (any grade) is allowed. Peripheral neuropathy less than or equal to Grade 2 is allowed. - Adequate bone marrow renal and liver function as assessed by protocol laboratory requirements - Women of childbearing potential must have a negative serum pregnancy test performed within 7 days prior to the start of study drug. Post-menopausal women (defined as no menses for at least 1 year) and surgically sterilized women are not required to undergo a pregnancy test. - Subjects (men and women) of childbearing potential must agree to use adequate contraception beginning at the signing of the ICF until at least 3 months after the last dose of study drug. Highly effective contraception must be used (e.g. male condom with spermicidal diaphragm with spermicidal intra-uterine device) must be used by both sexes. - Subject must be able to swallow medication. - Measurable disease at screening by RECIST 1.1 criteria Exclusion Criteria: - Any known mutation in KRAS or NRAS codons 12 13 59 61 117 or 146. - Prior use of regorafenib. - Known or suspected grade 3 allergy or hypersensitivity to any of the study drugs study drug classes or excipients of the formulations given during the course of the trial. - Uncontrolled hypertension (systolic pressure greater than140 mm Hg or diastolic pressure greater than 90 mm Hg [NCI-CTCAE v4.0] on mean of 3 consecutive readings despite optimal medical management. Hypertension may be corrected by adding or adjusting anti-hypertensives prior to the initiation of treatment at the discretion of the practitioner. - Active or clinically significant cardiac disease including congestive heart failure uncontrolled cardiac arrhythmias or unstable angina. - Evidence or history of congenital or acquired hypocoagulability disorders. - Any hemorrhage or bleeding event greater than or equal to NCI CTCAE v.4.0 Grade 3 within 4 weeks prior to start of study medication. - Subjects with thrombotic embolic venous or arterial events such as cerebrovascular accident (including transient ischemic attacks) deep vein thrombosis or pulmonary embolism that have initiated within 6 months of start of study treatment. Stable persistent events under appropriate management diagnosed greater than 6 months prior to treatment are allowed at the discretion of the investigator. - Subjects who are receiving treatment for a concurrent cancer that is distinct in primary site or histology from colorectal carcinoma except any cancer in-situ treated basal cell or squamous cell carcinoma or superficial bladder tumor. Subjects surviving a cancer that was curatively treated and without evidence of disease more than 1 year before randomization are allowed. All cancer treatments must be completed at least 1 year prior to start of study treatment. - Patients with severe hepatic impairment (Child-Pugh Class C). - Known history of human immunodeficiency virus (HIV) infection or current chronic or active hepatitis B or C infection requiring treatment with antiviral therapy. Baseline testing is not required. - Patients requiring IV antiviral or IV antibiotic treatment for ongoing infections. - Symptomatic metastatic brain or meningeal tumors. Baseline brain imaging is not required. - Presence of a non-healing wound or bone fracture. - Patient's with a history of kidney disease or persistent proteinuria must have less than Grade 3 proteinuria per NCI CTCAE v4.0 at screening. If a patient has a history of kidney disease or persistent proteinuria a urine protein test will be performed on a random urine sample. If the result is normal then no additional testing is required. If the result is abnormal a 24 hour urine will be collected to determine if proteinuria is less than Grade 3. - Interstitial lung disease with ongoing signs and symptoms at the time of informed consent. - Any malabsorption condition that in the opinion of the investigator would significantly impact drug absorption. - Women who are pregnant or breast-feeding. - Any condition which in the investigator's opinion makes the subject unsuitable for trial participation. - Substance abuse medical psychological or social conditions that in the opinion of the investigator may interfere with the subject's participation in the study or evaluation of the study results. - Concurrent anti-cancer therapy (chemotherapy radiation therapy surgery immunotherapy biologic therapy or tumor embolization) within 3 weeks of starting study treatment. - Concurrent use of another investigational drug or device during or within 3 weeks of starting study treatment. - Major surgical procedure open biopsy or significant traumatic injury within 3 weeks before start of study medication. - Concurrent use of strong CYP3a4 inducers (e.g. rifampin phenytoin carbamazepine phenobarbital and St. John's Wort) - Concurrent use with strong inhibitors of CYP3A4 (e.g. clarithromycin grapefruit juice itraconazole ketoconazole nefazadone posaconazole telithromycin and voriconazole),All,,18 Years, ,facility:Huntsman Cancer Institute|Salt Lake City|Utah|84112|United States,United States,
251,1717,NCT02199197,Active  not recruiting,,Prostate Cancer,,2019-11-01,,Treatment,Inclusion Criteria: - Histologically documented adenocarcinoma of the prostate. - Men at least 18 years of age and life expectancy of greater than or equal to 6 months. - ECOG performance status less than or equal to 2. - Metastatic disease as evidenced by both lymphadenopathy and bony metastases or just bony metastases on baseline bone scan and/or computed tomography (CT) scan or MRI of the abdomen and pelvis within 28 days of registration. Chest imaging is only required if clinically indicated or if there is known disease in the chest. - Castration resistant prostatic adenocarcinoma. Subjects must have castrate levels of serum testosterone (less than 50 ng/dL) achieved by orchiectomy or LHRH agonist or antagonist therapy. - Previously received docetaxel or are not healthy enough per clinical judgment or declined to receive it - Evidence of disease progression on or after the most recent systemic treatment defined by the following criteria: - PSA: Increasing serum PSA levels as defined by the PCWG2 determined by 2 consecutive measurements (compared to a baseline or nadir value). If the third measurement is below the second then a fourth measurement must be greater than the second. The confirming third or fourth measurement must be greater or equal to 2 ng/mL. PSA progression must have occurred within 15 months of registration (with at least 7 days between each PSA measurement). Additionally the PSA progression as described above should have occurred during or after the most recent systemic treatment for prostate cancer. - Measurable disease: greater than or equal to 20% increase in the sum of the short axis diameter of all measurable lymph nodes or the development of any new measurable lymphadenopathy by RECIST 1.1 and PCGWG2 criteria. - Non-measurable disease: - Lymph node disease: The appearance of 1 or more new lymphadenopathy and/or unequivocal worsening of non-measurable disease when compared to imaging studies acquired during castration therapy or against the pre-castration studies if there was no response. - Bone disease: Appearance of 2 or more new areas of abnormal uptake on bone scan when compared to imaging studies acquired during castration therapy or against the pre-castration studies if there was no response. Increased uptake of pre-existing lesions on bone scan does not constitute progression. - Symptomatic bone metastases - Adequate hematologic renal and liver function as evidenced by laboratory test results. (Transfusion of blood products are not allowed to normalize blood parameters within 4 weeks of the first radium treatment.) - Subjects who have previously received docetaxel or are ineligible for docetaxel and who are candidates for treatment with enzalutamide alone or enzalutamide in combination with Radium-223 - Men must agree to use adequate contraception beginning at the signing of the Informed Consent Form until at least 6 months after the last dose of study drug. Because of the potential side effect on spermatogenesis associated with radiation men who are sexually active must agree to use condoms and their female partners of reproductive potential must agree to use a highly effective contraceptive method during and for 6 months after completing treatment. - Able to provide informed consent and have signed an approved consent form that conforms to federal and institutional guidelines to ensure compliance with HIPAA regulations. Exclusion Criteria: - The presence of known brain metastases malignant pleural effusions or malignant ascites. Brain MRI is required at screening only if clinically indicated. - Visceral metastases as assessed by chest abdominal or pelvic computed tomography (CT) (or other imaging modality) - Received systemic therapy with radionuclides (e.g. strontium-89 samarium-153 rhenium-186 or rhenium-188 or Radium Ra 223 dichloride) for the treatment of bony metastases - Prior treatment with enzalutamide. - Concurrent anti-cancer therapy (chemotherapy radiation therapy surgery immunotherapy biologic therapy or tumor embolization) other than the protocol based treatment. LHRH agonist or antagonist therapy and supportive non-cancer directed therapies like biphosponates or denosumab are allowed. - Prior cytoxic chemotherapy with the exception of docetaxel or cabazitaxel. Treatment with docetaxel or cabazitaxel must be discontinued greater than 4 weeks from the time of enrollment and recovery of AEs to grade 1 or baseline (however ongoing neuropathy is permitted). - Major surgery within 30 days prior to start of study drug - Current untreated pathologic long-bone fractures imminent pathologic long-bone fractures (cortical erosion on radiography greater than 50%). - Prior hemi-body external radiotherapy. Subjects who received other types of prior external radiotherapy are allowed provided that bone marrow function is assessed and meets the protocol requirements for hemoglobin ANC and platelets. - Use of biologic response modifiers such as granulocyte macrophage colony-stimulating factor (GM-CSF) or granulocyte colony-stimulating factor (G-CSF) within 4 weeks prior to screening - Lymphadenopathy exceeding 3 cm in short-axis diameter - Any size pelvic lymphadenopathy if it is thought to be a contributor to concurrent hydronephrosis. - Current or imminent spinal cord compression based on clinical findings and/or magnetic resonance imaging (MRI). Treatment should be completed for spinal cord compression. - Any other serious illness or medical condition in the opinion of the investigator such as but not limited to: - Any greater than or equal to Grade 2 infection as defined by NCI-CTCAE version 4.03. - Cardiac failure New York Heart Association (NYHA) III or IV - Crohn's disease or ulcerative colitis - Bone marrow dysplasia - Fecal incontinence - Concomitant use of narrow therapeutic index drugs that are metabolized by CYP3A4 (i.e. alfentanil cyclosporine dihydroergotamine ergotamine fentanyl pimozide quinidine sirolimus tacrolimus) CYP2C9 (phenytoin warfarin) and CYP2C19 (S-mephenytoin). [Note: Patients on stable doses of anti-coagulation with warfarin and fentanyl will be eligible as long as they are monitored closely with additional INR monitoring]. - Any infection requiring parenteral antibiotic therapy or causing fever (temperature greater than 100.5 degrees F or 38.1 degrees C) within 1 week prior to registration. - Concurrent other malignancy with the exception of: a) cutaneous squamous cell and basal carcinomas b) adequately treated stage 1-2 malignancy c) adequately treated stage 3-4 malignancy that had been in remission for greater than or equal to 2 years at the time of registration. - Inability to comply with the protocol and/or not willing or not available for follow-up assessments - Any medical intervention or other condition which in the opinion of the Principal Investigator could compromise adherence with study requirements or otherwise compromise the study's objectives,Male,,18 Years, ,facility:Huntsman Cancer Institute|Salt Lake City|Utah|84112|United States,United States,
252,1721,NCT02191761,Completed,,Colorectal Cancer;Gastric Cancer;Hepatic Cancer;Pancreatic Cancer,,2015-05-20,,Treatment,Inclusion Criteria: - Subjects with advanced colorectal gastric hepatic or pancreatic cancer - Subjects must have recovered from all toxicity associated with previous chemotherapy targeted therapy or radiotherapy - Subjects must meet certain laboratory criteria - Expected survival > 3months - Subjects must have no uncontrolled intercurrent illness Exclusion Criteria: - Women who are pregnant or lactating or who are of childbearing potential and men who do not use a barrier method - Subjects with significant cardiac issues - Subjects using certain medications - Subjects with certain medical conditions - Subjects with brain metastasis - Subjects who have recently been enrolled in other experimental clinical trials of investigational agents,All,,18 Years, ,facility:Scottsdale|Arizona|85258|United States;facility:La Jolla|California|92121|United States;facility:Houston|Texas|77030|United States,United States,
253,1723,NCT02194166,Active  not recruiting,,Breast Cancer,,2018-06-30,,Treatment,Inclusion Criteria: - Eastern Cooperative Oncology Group (ECOG) performance status 0 or 1 - Hormonal therapy allowed as per institutional guidelines - Left ventricular ejection fraction (LVEF) of greater than or equal to (>/=) 55 percent (%) measured by echocardiography (ECHO) prior to first dose of trastuzumab - HER2-positive disease immunohistochemistry (IHC) 3+ or in-situ hybridization (ISH) positive as determined in a local laboratory that is experienced/certified in HER2-expression testing using an accurate and validated assay - Histologically confirmed non-metastatic primary invasive adenocarcinoma of the breast - No evidence of residual locally recurrent or metastatic disease after completion of surgery and chemotherapy or during concurrent chemotherapy (neo-adjuvant or adjuvant) - Participants who have completed all (neo)adjuvant treatment or participants after adjuvant chemotherapy with doxorubicin and cyclophosphamide (AC) to whom the 4 subsequent cycles of trastuzumab in combination with paclitaxel or docetaxel are indicated per local practice - Not more than 3 months should have elapsed since the last dose of adjuvant chemotherapy in case of subsequent treatment scheme Exclusion Criteria: - Previous neoadjuvant or adjuvant breast cancer treatment with an approved or investigational anti-HER2 agent - History of other malignancy that can affect compliance with the protocol or interpretation of results. Participants with curatively treated carcinoma in situ of the cervix or basal cell carcinoma and participants with other curatively treated malignancies who have been disease-free for at least 5 years are eligible. Participants with previous ductal carcinoma in situ (DCIS) of the breast are also eligible for the study - Participants with severe dyspnea at rest or requiring supplementary oxygen therapy - Participants with other concurrent serious diseases that may interfere with planned treatment including severe pulmonary conditions/illness - Prior maximum cumulative dose of doxorubicin >360 mg/m2 or maximum cumulative dose of epirubicin >720 mg/m2 or equivalent - Serious cardiac illness or medical conditions that would preclude the use of trastuzumab specifically: history of documented congestive heart failure (CHF) high-risk uncontrolled arrhythmias angina pectoris requiring medication clinically significant valvular disease evidence of transmural infarction on electrocardiogram (ECG) diagnosed poorly controlled hypertension - Known infection with human immunodeficiency virus (HIV) active hepatitis B virus (HBV) or hepatitis C virus (HCV) - Pregnant or lactating women - Concurrent enrollment in another clinical trial using an investigational anticancer treatment including hormonal therapy bisphosphonate therapy and immunotherapy within 28 days prior to the first dose of study treatment - Known hypersensitivity to trastuzumab murine proteins to any of the excipients of Herceptin® or the adhesive of the SC device or a history of severe allergic or immunological reactions e.g. difficult to control asthma - Inadequate bone marrow hepatic or renal function - Major surgical procedure or significant traumatic injury within 14 days prior to the first dose of study treatment or anticipated need for major surgery during the course of study treatment,All,,18 Years, ,"facility:State Inst N.N. Alexandrov Republican Scientific & Practical Centre of Oncology & Medical Radiology|A/g Lesnoy Minsk Region|223040|Belarus;facility:Healthcare Institution ""Brest Regional Oncologic Dispensary""|Brest|224027|Belarus;facility:Minsk City Clinical Oncologic Dispensary|Minsk|BU-220013|Belarus;facility:Vitebsk Regional Clinical Oncology Dispensary|Vitebsk|BU-210603|Belarus;facility:Kazakh Scientific Research Institution Of Oncology and Radiology; Chemotherapy department|Almaty|050022|Kazakhstan;facility:Almaty Cancer Hospital; Chemotherapy department|Almaty|050060|Kazakhstan;facility:Oncology centre of Astana; Chemotherapy department|Astana|010000|Kazakhstan",Belarus;Kazakhstan,
254,1749,NCT02198859,Completed,As lithium has been shown in an in vitro model to suppress cellular proliferation and suppress tumor growth in an in vivo xenograft model we propose to determine its effect on prostate cancer cells in human patients undergoing radical prostatectomy. In this pilot study we plan to assess the toxicity of lithium administration in patients prior to radical prostatectomy. This will include any clinical toxicity as well as any increase in intra- peri- or postoperative complications.,Prostate Cancer,Prostate Cancer;Lithium;Androgen;PSA,2016-08-01,,Treatment,Inclusion Criteria: - Ability to understand and the willingness to sign a written informed consent form. - Subjects with histologically confirmed local adenocarcinoma of the prostate who have elected to proceed with radical prostatectomy as primary curative therapy. - Subjects having no prior administration of lithium or lithium containing medications within 90 days of study enrollment. - Subjects >/= 18 years of age. - ECOG (Eastern Cooperative Oncology Group) performance status of </= 1. - Adequate renal function defined as GFR (Glomerular Filtration Rate) >/= 50 mL/min. - Use of adequate contraception - ECG (Electrocardiogram) within normal limits. - Subjects must agree not to take any new vitamin supplements or herbal remedy during the study period. - Subjects must be able to safety take lithium carbonate for at least 4 weeks before scheduled prostatectomy. Exclusion Criteria: - Subjects who have received any investigational medication within 30 days of first lithium dose. - Subjects currently receiving or who have had previous hormonal chemotherapy or radiotherapy for prostate cancer. - Subjects with known brain metastases. - History of allergic reactions attributed to compounds of similar chemical or biologic composition to lithium carbonate. - Uncontrolled intercurrent illness such as ongoing or active infection symptomatic congestive heart failure unstable angina pectoris cardiac arrhythmia or psychiatric illness/social situations that would limit compliance with study requirements.,Male,,18 Years, ,facility:University of Kansas Medical Center|Kansas City|Kansas|66160|United States,United States,
255,1802,NCT02193503,Recruiting,Endpoints: Primary: To assess safety parameters including adverse and serious adverse events (incidence causality severity) local and systemic tolerance to the administered study treatment changes in laboratory values and vital signs in patients with solid tumor; Secondary: to measure some tumor responses in using imaging technique serological tumor markers immune monitoring and metabolic monitoring.,Solid Tumor;Cancer,cancer;solid tumors;gene therapy;cell therapy;encapsulation,2017-12-01,,Treatment,Inclusion Criteria: - Male or female patients aged 18 years and older with advanced metastatic cancer in progression of various sites [Carcinoma of lung (either small cell or non-small cell) colon breast pancreas (exocrine or endocrine) stomach oesophagus head&neck thyroid kidney bladder prostate ovary uterus (cervix or corpus); Sarcoma of soft tissue bone uterus melanoma; primary brain tumor] where all recognized treatment are exhausted or not feasible. - Life expectancy: estimate of at least 4 months. Exclusion Criteria: - Have participated in any other investigational study or received an experimental therapeutic procedure considered to interfere with the study in the 4 preceding weeks. - Have received any chemotherapy treatment in the 4 preceding weeks. - Serious concomitant health condition such as organ transplant requiring immunosuppressive drugs severe psychiatric disorders. - History of second cancer within the last 2 years with the exception of basal cell carcinoma of skin and localized cervical carcinoma treated with curative intent. - Patient with a systemic disease other than cancer that is not controlled by usual medication. - Therapeutic anticoagulation with coumarine or continues iv heparin. Low-molecular weight heparin (LMWH) is permitted as long as treatment can be withheld several hours prior to subcutaneous implantation. - Positive HIV-1 HIV-2 HTLV-1 HTLV-2 hepatitis B surface antigen or hepatitis C antibody.,All,,18 Years, ,facility:Hopitaux Universitaires de Genève - HUG|Geneva|Genève|1205|Switzerland|status:Recruiting|contact:Anna Patrikidou MD|+41 22 372 29 01|anna.patrikidouhcuge.ch|investigator:Anna Patrikidou MD|role:Principal Investigator,Switzerland,
